# energy	norm
13228	1.0012296
13229.01	1.0007764
13230.03	0.98825722
13231.04	1.0101279
13232	0.99568252
13233.03	1.0010493
13234.04	0.99242005
13235.02	1.0094919
13236.02	1.005402
13237.03	0.9970179
13238.05	0.99286965
13239.01	1.0059429
13240.02	0.9975792
13241.02	0.98975785
13242.02	1.0041614
13243	0.9995767
13244.01	1.0054206
13245.04	0.99936373
13246.02	0.99524518
13247.02	0.99913734
13248.04	1.0040395
13249.05	0.99883999
13250.02	1.0098113
13251.03	1.010187
13252.05	0.99613339
13253.01	0.99884267
13254.03	1.0025876
13255.03	1.008922
13256.03	1.0047193
13257.03	1.0069474
13258.03	1.0068619
13259.04	0.99670403
13260.04	1.0036695
13261.01	1.0149952
13262.06	1.0045295
13263.03	0.99639734
13264.04	1.0104569
13265.03	1.0011337
13266.05	1.0040522
13267.03	1.0058295
13268.01	0.99686748
13269.05	0.99559743
13270.02	1.0014009
13271	1.0037902
13272.04	1.0034554
13273.02	0.99937633
13274.02	1.0051624
13275.03	1.0062002
13276.05	1.0070117
13277.03	1.0010651
13278.02	1.0056023
13279.04	0.99815043
13280.06	1.0076804
13281.02	0.99882149
13282.03	0.99454833
13283.03	1.009725
13284.02	0.99819465
13285.02	1.0052084
13286.02	0.9997282
13287.06	1.006761
13288.03	1.0108344
13289	1.0057363
13290.04	1.0067447
13291.01	1.0070361
13292.02	1.0030213
13293.02	1.0074655
13294.03	1.0052745
13295.03	1.0157808
13296.02	0.99959311
13297.04	1.0253499
13298.03	1.0110654
13299	1.0000568
13300.04	1.002503
13301.03	1.0036714
13302	0.99514743
13303.04	1.0037741
13304.01	1.0040239
13305.02	1.0053706
13306.03	1.007322
13307.02	1.005374
13308.06	1.0133779
13309.03	1.0052036
13310.02	1.0007951
13311.01	0.99228092
13312.02	1.0048538
13313.01	1.0050378
13314	1.0060728
13315.01	1.0040393
13316	0.99684388
13317.03	0.99993965
13318.02	1.0096338
13319.04	1.0115108
13320.02	1.0057592
13321.04	0.99529388
13322.04	1.0042338
13323.03	1.0128631
13324	0.99701661
13325.05	1.0022377
13326.02	1.0083366
13327	0.99825255
13328.02	0.99701857
13329.02	1.0024104
13329.99	1.0050349
13331	1.000698
13332.03	1.0097619
13333.03	1.0116986
13334	1.0116546
13335.03	0.99768796
